date,rating,create,care,talk,move,work,read,write
3/16/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/17/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3/18/21,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3/19/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/20/21,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
3/21/21,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/22/21,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3/23/21,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/24/21,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/25/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/26/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
3/27/21,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3/28/21,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3/29/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/30/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/31/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
